Title,Address,Latitude,Longitude,Phone,Website,Email,volunteer-email,volunteer-website,volunteer-phone,Notes,Category,PlaceID,Source,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Image
AIDS Alliance of WNY,"206 S Elmwood Ave, Buffalo, NY 14201, USA",42.8908197,-78.8786604,(716) 852-6778,,pantry@aidsalliance.com,,,,"Phone: (716) 852-6778
Email: pantry@aidsalliance.com
Requirements: The organization provides referrals for individuals living with HIV/AIDS. The food pantry, which is located at the drop-in center, offers groceries to clients who are in need. For additional inquiries, please contact coordinator@aidsalliance.com.",Food bank,ChIJ0fXBMUwS04kRHD8rx8uS3ls,FF,,,,,,,,
Evergreen Health Services,"206 S Elmwood Ave 4th Floor, Buffalo, NY 14201, USA",42.8908197,-78.8786604,(716) 847-2441,https://www.freefood.org/l/ny_14201_evergreen-health-services,,,,,,Food bank,Ei4yMDYgUyBFbG13b29kIEF2ZSAjNHRoLCBCdWZmYWxvLCBOWSAxNDIwMSwgVVNBIh8aHQoWChQKEgnR9cExTBLTiREcPyvHy5LeWxIDNHRo,FF,,,,,,,,
"Youth Action Programs And Homes, Inc.","206 E 118th St, New York, NY 10035, USA",40.7988305,-73.9386916,(212) 860-8170,https://www.youthaction.nyc/,info@yayb.org,,,,"Hours of Operation:
Monday: 1:00 PM - 4:00 PM
Note: Clients must be residents of East Harlem.
For more information, please call.",Food bank,ChIJiagwYwj2wokRQd8DUsuuMUY,FF,,,,,,,,
Graffiti Community Ministries,"205 E 7th St, New York, NY 10009, USA",40.7247627,-73.9799039,(212) 473-0044,http://www.graffitichurch.org/,info@graffitichurch.org,,,,"Hours of Operation:
- Wednesday: 6:00 PM to 7:00 PM
- Saturday: 1:00 PM at Tompkins Square Park
Please note that there will be no lunches offered on the 1st Saturday of the month and there will be no food pantry available during the month of August.",Food bank,ChIJL6SS1HlZwokRXDR1Q4c9loA,FF,,,,,,,,
Community Action Angels Food Pantry - The Cornerstone,"204 N Main St, Perry, NY 14530, USA",42.7272178,-77.9920627,(585) 237-2600,http://wccainc.org/,pstandish@wccainc.org,,,,"This pantry is open to all hungry people, regardless of income, and provides assistance based solely on need. Operating hours are Monday through Thursday from 8:30 am to 4:30 pm. Additionally, a Mobile Food Pantry is available on the 2nd Thursday of each month from 10:00 am to 12:00 pm, offering fresh fruits, vegetables, dairy products, and breads. The pantry also stocks personal care items, cleaning supplies, diapers, formula, clothing, household items, and medical equipment (if available). If your children require food assistance over the weekend, please contact your Wyoming County school district to be referred to their Snackpaks for Kids program. For more information, please call the pantry.",Food bank,ChIJTXQdQ6PZ04kRkeb1hzjKjgU,FF,,,,,,,,
Davidson Community Center,"2038 Davidson Ave, Bronx, NY 10453, USA",40.8535636,-73.9084715,(718) 731-6360,http://www.thedccsite.org/,,,,,"Hours of Operation:
Monday and Wednesday: 10:00 am - 12:00 pm
For more information, please call.",Food bank,ChIJ45i4cnL0wokRw9UhyzuCBMk,FF,,,,,,,,
Operation Good Neighbor Food Pantry,"2030 S Creek Rd, North Evans, NY 14112, USA",42.6967397,-78.9394091,(716) 627-5194,https://ognwny.wordpress.com/,Ognfoodpantry@outlook.com,,,,"Organization Name: Food Pantry
Services Provided: Food pantry services for residents of zip codes 14027, 14061, 14112, Town of Brant, Town of Evans, Derby, Angola, Eden, and North Eden.
Hours of Operation:
- Food pantry: Tuesdays from 12:30 pm to 5:30 pm
- Clothing services (by appointment only):
  - 1st and 3rd Saturday from 10:00 am to 1:00 pm
  - Friday from 12:00 pm to 2:00 pm
  - Saturday from 10:00 am to 1:00 pm
For more information, please contact us.",Food bank,ChIJ3zBVD5ge04kRYfHVyIJjvoc,FF,,,,,,,,
Our Lady Of Peace,"203 Halcomb St, Syracuse, NY 13209, USA",43.0884685,-76.2441597,(315) 487-6832,https://www.solvaylakelandchurch.org/,olopeacesyracuse@syrdio.org,,,,"Services:
- Food pantry
Food Pantry Opening Hours:
- Every 3rd Wednesday of the month: 10:30 a.m. - 12:00 p.m. and 5:30 p.m. - 6:30 p.m.
- Or by appointment
For further information, please call.",Food bank,ChIJbSPcbEHw2YkRGPRqCWzrWds,FF,,,,,,,,
People's Equal Action and Community Efforts,"202 S Beech St, Syracuse, NY 13210, USA",43.0490562,-76.1280685,(315) 470-3325,http://www.peace-caa.org/,info@peace-caa.org,,,,"PEACE Inc in Onondaga County provides a food pantry with the following hours of operation:
Monday from 9:00 am to 12:00 pm.
For more information, please contact them directly.",Food bank,ChIJo0Y8nAjz2YkRTwKNYuiOCH8,FF,,,,,,,,
First Mary Magdalene Temple,"202 Albany Ave, Brooklyn, NY 11213, USA",40.6735456,-73.9392542,(718) 953-3048,,,,,,"Phone: (718) 953-3048
Hours of operation:
Tuesday: 12:00 PM - 1:00 PM
For more information, please call.",Food bank,ChIJBwLxIYFbwokRnHgXvd8mvy0,FF,,,,,,,,
Rescue Mission of Utica Soup Kitchen,"201 Rutger St, Utica, NY 13501, USA",43.0978848,-75.2313758,(315) 735-1645,http://www.uticamission.org/,lucas.richmond@uticamission.org,,,,"Bag lunches:
Monday - Friday
12:00 pm - 12:30 pm
Dinner:
5:10 pm - 5:30 pm
Food donations:
Every day
6:00 am - 6:00 pm",Food bank,ChIJUYcIRydH2YkRytTgfxLPnd8,FF,,,,,,,,
Chips-park Slope Christian,"200A 4th Ave, Brooklyn, NY 11217, USA",40.6783171,-73.9828518,(718) 237-2962,http://chipsonline.org/,denise4chips@gmail.com,,,,"Soup Kitchen:
Hours of Operation:
- Monday - Saturday: 11:30 am - 1:00 pm (Hot meal)
- Monday to Friday: 1:00 pm - 4:00 pm (Sandwiches)
Food Pantry:
Hours of Operation:
- Friday: 11:30 am - 1:30 pm
For more information, please call them.",Food bank,ChIJtTcA1apbwokRCd5VJ5RkjWU,FF,,,,,,,,
Messiah Lutheran - Bread of Life Food Pantry,"2000 Broadway, Schenectady, NY 12306, USA",42.7978401,-73.9643586,(518) 355-2311,http://www.messiahschenectady.org/,,,,,"Customers are allowed to visit once a month only through referral. For further details, kindly contact them.",Food bank,ChIJBXpOacNx3okRJ9Srn5jjuVs,FF,,,,,,,,
Church Of The Good Shepherd,"200 NJ-23, Wantage, NJ 07461, USA",41.1864427,-74.5889364,(973) 875-0919,https://www.facebook.com/GoodshepNJ/,office@goodshepherdwantage.org,,,,"Food Distribution Hours:
- Tuesday and Thursday: 9:30 AM to 11:30 AM
Hours of Operation:
- Monday: Closed
- Tuesday: 9:30 AM to 11:30 AM
- Wednesday: Closed
- Thursday: 9:30 AM to 11:30 AM
- Friday: Closed
- Saturday: Closed
- Sunday: Closed",Food bank,ChIJ-d2eSVIVw4kRA92c3rsgCx0,FF,,,,,,,,
Grand Street Settlement - Rutgers Community Center,"200 Madison St, New York, NY 10002, USA",40.7124182,-73.9906705,(646) 666-3040,https://www.grandsettlement.org/,yhuang@grandsettlement.org,,,,"Hours of Operation:
Monday to Friday: 11:15 AM until food runs out.
For more information, please call.",Food bank,ChIJl4qNOSlawokR5XWD3aeY0yE,FF,,,,,,,,
Food Bank for Westchester,"200 Clearbrook Rd, Elmsford, NY 10523, USA",41.0727179,-73.8129734,(914) 923-1100,http://www.facebook.com/pages/Food-Bank-For-Westchester/45097098107?ref=ts,info@foodbankforwestchester.org,,,,"Formerly known as Food-PATCH (Food People Allied To Combat Hunger), the Food Bank for Westchester distributes food to 227 member programs in order to alleviate hunger in Westchester County.",Food bank,ChIJ6QiNL2mVwokRav7HZMSSWQc,FF,,,,,,,,
Catholic Charities - WIC Program Site - St Simons,"200 Cazenovia St, Buffalo, NY 14210, USA",42.8527341,-78.8084091,(716) 218-1484,,grace.mckenzie@ccwny.org,,,,"Phone: (716) 218-1484
Email: grace.mckenzie@ccwny.org
Services:
- Provides a food pantry
- Serves residents of New York State who are at nutritional risk and meet income guidelines
Hours of operation:
Monday - Friday: 8:45 am - 4:45 pm
Closed during the summer.",Food bank,ChIJCVz4NnEO04kRYrdnteDQPFA,FF,,,,,,,,
Fulmont Community Action Agency,"200 Canal St, Fort Plain, NY 13339, USA",42.9343484,-74.6250147,(518) 993-3230,https://www.facebook.com/fulmontcommunityactionagency/,fulmontcommunity@hotmail.com,,,,"Organization Name: Food Pantry
Service Area: Montgomery County
Description: Provides a food pantry to those in need.
Contact Information: For more information, please call the organization.",Food bank,ChIJ5TOJ0w693okR0C018P1WGsk,FF,,,,,,,,
Albany Community Action Partnership,"20 White St, Cohoes, NY 12047, USA",42.7724648,-73.7011471,(518) 237-9201,https://www.facebook.com/AlbanyCommunityActionPartnership/,info@albanycap.org,,,,"Food Pantry Offered for Cohoes, Green Island, and Watervliet Residents
Residents of Cohoes, Green Island, and Watervliet can take advantage of our food pantry services. To access this service, you must provide proof of residency, such as mail, a bill, or lease, as well as identification for all household members. Additionally, proof of income for the last 30 days is required.",Food bank,ChIJNXNpLtUR3okRvvDhSiXSSBI,FF,,,,,,,,
Baptist Temple Church,"20 W 116th St, New York, NY 10026, USA",40.8008118,-73.9475895,(212) 996-0334,,,,,,"Phone: (212) 996-0334
Hours of operation:
Between 10:00 AM and 11:00 AM on the 1st and 3rd Saturday of the month
For more information, please call them.",Food bank,ChIJ4dWo3w_2wokRWX-QK5P68DE,FF,,,,,,,,
Salvation Army and Albany,"20 S Ferry St, Albany, NY 12202, USA",42.6418646,-73.7530407,(518) 463-6678,https://empire.salvationarmy.org/,federico.larrinaga@use.salvationarmy.org,,,,"Organization Name: Food Pantry
Service Area: Albany County
Documentation Required: Birth certificate, income certificate, residence certificate, and ID card with a photo of the head of the household (person completing the registration process).
Hours of Operation:
- Food Pantry: Monday, Wednesday, and Friday from 3:30 pm to 5:30 pm
- Soup Kitchen Cohoes: Tuesday and Thursday from 10:00 am to 2:00 pm
For more information, please contact us by phone.",Food bank,ChIJ-b900B4K3okRC_gDOPyspgc,FF,,,,,,,,
Hillside Food Outreach,"2 Westchester Plaza, Elmsford, NY 10523, USA",41.0684058,-73.8096669,(914) 747-0095,http://hillsidefoodoutreach.org/,hfopacknight@gmail.com,,,,"Hillside Food Outreach is dedicated to ending hunger in their most vulnerable neighboring counties of Westchester, Putnam, and Fairfield. The Hillside Volunteer Home provides healthy and nutritious food to over 2,400 boys, girls, and low-income individuals who are unable to access local food pantries for various reasons. They serve the elderly who must choose between medicine and food, families who are struggling to survive and feed their children, and those with health problems who require better nutrition and healthier eating habits. For further information, please contact them.",Food bank,ChIJQds1TWyVwokReK0VKGx8PjI,FF,,,,,,,,
Parkside Lutheran Church,"2 Wallace Ave, Buffalo, NY 14214, USA",42.9436448,-78.8474333,(716) 836-1361,https://www.facebook.com/ParksideLutheranBuffalo/,parksidelutheran@gmail.com,,,,"Food Pantry Hours:
- Saturday: 9:00 am to 1:00 pm
- In case of food emergencies, the pantry can be opened by church staff on Mondays, Tuesdays, and Thursdays between 10:00 am and 3:00 pm. This is by appointment only.
Serves the following zip codes: 14214, 14216, and 14217. Clients are allowed to use this pantry once a month. Required documents: ID and proof of address.",Food bank,ChIJK9t4iFFt04kRntlgo4REYV4,FF,,,,,,,,
Connecticut Foodshare,"2 Research Pkwy, Wallingford, CT 06492, USA",41.4805557,-72.7656071,(203) 469-5000,https://www.facebook.com/CTFoodshare,contact-us@ctfoodshare.org,,,,"Food Distribution Hours:
Monday to Friday: 8:30 AM to 4:30 PM (by appointment)
Hours of Operation:
Monday to Friday: 8:30 AM to 4:30 PM
Saturday: Closed
Sunday: Closed",Food bank,ChIJicsFNwPL54kRL7KdNjgfb7o,FF,,,,,,,,
Awb Food Bank Inc,"2 Morley Ct, Albertson, NY 11507, USA",40.7786212,-73.6596455,(973) 736-9032,,,,,,Phone: (973) 736-9032,Food bank,ChIJc_WiHXqIwokRAE93V-5XvtM,FF,,,,,,,,
Trehab Center-Oakland Food Bank,"2 E River St, Susquehanna, PA 18847, USA",41.9486332,-75.607463,2021-05-07 13,https://www.freefood.org/l/pa_18847_trehab-center-oakland-food-bank#,,,,,"This organization provides a food pantry to serve the Susquehanna Oakland Area and Hallstead, located on the east side of Susquehanna County. There may be some overlap with the South Montrose Food Bank. The hours of operation are Monday, Wednesday, Friday, and Saturday from 9:00 am to 12:00 pm and 1:00 pm to 2:30 pm. For more information, please contact them directly.",Food bank,EigyIEUgUml2ZXIgU3QsIFN1c3F1ZWhhbm5hLCBQQSAxODg0NywgVVNBIjASLgoUChIJJ_pY1Qgi24kRp_GbEupMNtYQAioUChIJv6z6Ywki24kROCgy0kSZfKQ,FF,,,,,,,,
Island Harvest,"199 E 2nd St, Mineola, NY 11501, USA",40.7443011,-73.6267094,(516) 294-8528,http://www.facebook.com/islandharvest,facebook@islandharvest.org,,,,"Island Harvest collects surplus food from over 600 food businesses, including restaurants and farms. This rescued food is then distributed to nearly 500 hunger-fighting programs and agencies throughout Long Island.",Food bank,EiQxOTkgRSAybmQgU3QsIE1pbmVvbGEsIE5ZIDExNTAxLCBVU0EiMRIvChQKEgmb9AyMiofCiRGElgc_3AzW6xDHASoUChIJMcV1o4qHwokRkrvqAiMxMDk,FF,,,,,,,,
Queen of the Most Holy Rosary Parish Social Ministry,"196 W Centennial Ave, Roosevelt, NY 11575, USA",40.6765916,-73.5952095,(516) 378-1315,http://www.qtmhr.com/,qmhr@optonline.net,,,,"Services: Our organization provides a food pantry for those in need.
Pantry Hours of Operation:
- Tuesday: 10:00 am - 12:00 pm
- Thursday: 1:00 pm - 3:00 pm",Food bank,ChIJc1L6LmZ8wokRAylWGrzLMJw,FF,,,,,,,,
Food Bank of The Hudson Valley,"195 Hudson St, Cornwall-On-Hudson, NY 12520, USA",41.4435444,-74.0108199,(845) 534-5344,http://www.foodbankofhudsonvalley.org/,info@foodbankofhudsonvalley.org,,,,"If you have any inquiries regarding the Hudson Valley Food Bank or the services they provide, kindly get in touch with them.",Food bank,ChIJn25w8r4y3YkRDFLrDxUcGsk,FF,,,,,,,,
Word Of Life Ministries,"1941 Hyde Park Blvd, Niagara Falls, NY 14305, USA",43.1069482,-79.0290772,(716) 297-2951,https://www.facebook.com/wolmnfny/,wolmnf@gmail.com,,,,"FOOD PANTRY HOURS:
- Tuesdays and Thursdays from 10:00 am to 2:00 pm
For more information, please call them.
HOURS OF OPERATION:
- Monday: Closed
- Tuesday: 10:00 AM - 2:00 PM
- Wednesday: Closed
- Thursday: 10:00 AM - 2:00 PM
- Friday: Closed
- Saturday: Closed
- Sunday: Closed",Food bank,ChIJq7pIva1C04kR2PZOhcVIhCw,FF,,,,,,,,
First Baptist Church of Deer Park,"191 Washington Ave, Deer Park, NY 11729, USA",40.7520224,-73.3117172,(631) 667-5313,https://www.freefood.org/l/ny_11729_first-baptist-church-of-deer-park#,firstbaptistdeerpark@gmail.com,,,,"Monday: Closed
Tuesday: Closed
Wednesday: 12:00 PM - 2:00 PM
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",Food bank,ChIJFeMf_bkt6IkR7_dmRI9T7HM,FF,,,,,,,,
"St. Edmunds Youth Programs, Inc.","1905 Morris Ave, Bronx, NY 10453, USA",40.8498397,-73.9080988,(718) 466-9370,,stedmund@optimum.net,,,,"Thursday
12:00 pm - Until food runs out
Please call them for more information.",Food bank,ChIJfcbWR2z0wokRukHkH-cVXyM,FF,,,,,,,,
Greater Mt. Zion Pentecostal Church,"1903 Fulton St, Brooklyn, NY 11233, USA",40.678989,-73.920419,(718) 221-0694,,,,,,"Between 1:00 PM and 4:00 PM on Thursday, for more information, please call them.",Food bank,ChIJZ2fjGm9cwokRtU8JqKTTpCE,FF,,,,,,,,
Caritas of Port Chester,"19 Smith St, Port Chester, NY 10573, USA",40.9967421,-73.6641751,(914) 305-3967,https://www.caritaspc.org/,billcusano@mac.com,,,,"Caritas Port Chester offers coffee and Danish, muffins, or bagels to customers from 7:30 a.m. to 9:00 a.m. on weekdays and from 7:00 a.m. to 9:00 a.m. on Saturdays. At 9:00 a.m., hot soup, eggs, or a hot sandwich are added, depending on the previous day's preparation. Volunteer cooks arrive before 9:00 a.m. on weekdays to assist chefs in preparing salads, desserts, fruit, and vegetables for lunch. Lunch is a balanced meal consisting of meat or fish, vegetables, starch, soup, and salad, with a choice of fruit and dessert. They accommodate clients with dietary restrictions. The food pantry is open on Tuesdays from 9:00 a.m. to 10:30 a.m. and on Saturdays from 8:00 a.m. to 9:30 a.m. Registered family members can choose from shelves of canned, dry, and boxed items, as well as fresh food and bread if available. For more information, please call.",Food bank,ChIJmayXw1qXwokRfNbTn8WRTrw,FF,,,,,,,,
Cortlandt Emergency Food Bank,"19 Old Post Rd S, Croton-On-Hudson, NY 10520, USA",41.2087521,-73.883139,(914) 271-5309,https://www.foodpantryincroton.org/,,,,,,Food bank,ChIJWzbHUgHHwokRDSogEYfx1u0,FF,,,,,,,,
Churches of Jesus Crist,"188-21 Suffolk Dr, Queens, NY 11412, USA",40.6942612,-73.7640118,(718) 276-3015,,,,,,"Food Pantry Opening Hours:
- Every Thursday from 12:00 p.m. to 1:30 p.m.
- Every Saturday from 9:00 a.m. to 11:00 a.m.
For further information, please call.",Food bank,ChIJ3TMt9UVhwokRh9yQQCIYO-s,FF,,,,,,,,
Garden Of Prayer,"1874 Washington Ave, Bronx, NY 10457, USA",40.8463507,-73.8980518,(718) 294-3401,,,,,,"Phone: (718) 294-3401
Soup Kitchen Hours of Operation:
- Wednesday and Thursday: 11:30 am - 1:00 pm
Food Pantry Hours of Operation:
- Distribution day announced on door sign
For more information, please call.",Food bank,ChIJo0XQe2b0wokRD9hDH4S7hrM,FF,,,,,,,,
Salvation Army - Temple Corps,"187 Grant St, Buffalo, NY 14213, USA",42.9191151,-78.8900547,(716) 886-5772,https://buffalo.salvationarmy.org/,Diego.Bedoya@use.salvationarmy.org,,,,Please call them for more information.,Food bank,ChIJ5dIuWhkT04kR7lEoDWccGUY,FF,,,,,,,,
Home House of Erie Food Pantry,"1861 Buffalo Rd, Erie, PA 16510, USA",42.1315789,-80.0352922,(814) 460-0437,https://www.facebook.com/homehouseerie/,homehousefoodpantry@gmail.com,,,,"Hours of Operation:
- Food pantry services: every other Wednesday from 11:00 AM to 2:00 PM
- Food distribution: every Monday, Wednesday, and Friday from 11:00 AM to 1:00 PM
For inquiries, please call 814-460-0437.",Food bank,ChIJt3q8Ijx-LYgRPLFBJWRr4rA,FF,,,,,,,,
The Food Brigade - Dumont,"185 W Madison Ave, Dumont, NJ 07628, USA",40.9399177,-74.001933,(201) 614-4414,https://www.facebook.com/foodbrigadeUSA/,hq@foodbrigade.org,,,,"Emergency Food Pantry and Distribution Center for New Jersey Residents Dealing with Hunger and Food Insecurity
Food Distribution Hours:
- Wednesday: 4:00 PM - 6:30 PM (by appointment)
Mission Statement:
The mission of The Food Brigade is to ensure that no child or adult in New Jersey goes hungry.
Hours of Operation:
- Monday: Closed
- Tuesday: Closed
- Wednesday: 4:00 PM - 6:30 PM
- Thursday: Closed
- Friday: Closed
- Saturday: Closed
- Sunday: Closed
From The Food Brigade - Dumont Website.",Food bank,ChIJzSkyoj7wwokR73-WXvY_8Dc,FF,,,,,,,,
Gleaners Community Kitchen,"183 N Main St, Canandaigua, NY 14424, USA",42.8937039,-77.2848271,(585) 394-4818,https://www.facebook.com/GleanersKitchen/,gleaners@rochester.rr.com,,,,"FOOD DISTRIBUTION HOURS:
Monday to Friday: 11:00 AM to 12:30 PM
HOURS OF OPERATION:
Monday: 11:00 AM - 12:30 PM
Tuesday: 11:00 AM - 12:30 PM
Wednesday: 11:00 AM - 12:30 PM
Thursday: 11:00 AM - 12:30 PM
Friday: 11:00 AM - 12:30 PM
Saturday: Closed
Sunday: Closed",Food bank,ChIJ74otNH8m0YkRIaULEjK9pMw,FF,,,,,,,,
Spanish Soundview Church,"1822 Lacombe Ave, Bronx, NY 10473, USA",40.8148058,-73.8611799,(718) 842-7373,https://soundviewspanishny.adventistchurch.org/,,,,,"Food Pantry Hours of Operation:
Wednesday: 9:00 am - 11:00 am
Please call for more information.",Food bank,ChIJ777O5yD1wokRQ-LnO0O0M-o,FF,,,,,,,,
Spanish Washington Avenue Sda Church,"1815 Washington Ave, Bronx, NY 10457, USA",40.845074,-73.8994203,(718) 294-6700,,,,,,"Phone: (718) 294-6700
Food Pantry Hours of Operation:
Wednesday 11:00 am - 12:00 pm
For more information, please call them.",Food bank,ChIJA4XHOWb0wokRjORSBSRRhMQ,FF,,,,,,,,
New Covenant Temple,"1805 Amsterdam Ave, New York, NY 10031, USA",40.8278232,-73.9452127,(212) 926-4636,,,,,,"Phone: (212) 926-4636
Food pantry hours: Tuesday 10:00 a.m. - 12:00 p.m.
Please call for more information.",Food bank,ChIJUzVdcX32wokRa3BpoHfPIRo,FF,,,,,,,,
Second Baptist Food Pantry,"18 Church St, Lackawanna, NY 14218, USA",42.826924,-78.8476205,(716) 826-4940,https://secondbaptistchurchny.org/,,,,,"Food Pantry Services Available
Hours of Operation: Thursday from 9:00 AM to 3:00 PM
Serving the 14218 area and surrounding South Buffalo regions with food assistance. Vouchers from local agencies are required. Please bring proof of residency, income, and household size. Kindly call every six months to confirm possible changes in operating hours. For further details, please contact us.",Food bank,ChIJid8EOdIR04kRfXLgpwy_dQI,FF,,,,,,,,
Bethesda Missionary Baptist Church,"179-09 Jamaica Ave, Jamaica, NY 11432, USA",40.7085951,-73.7810719,(718) 297-5908,,,,,,"Phone: (718) 297-5908
Hours of operation:
- Monday, Thursday, and Friday: 12:00 PM to 1:30 PM
- Wednesday: 7:30 AM to 10:00 AM
For more information, please call them.",Food bank,ChIJGRkxpBdhwokRiXdfzCiOH_I,FF,,,,,,,,
El Amanecer De La Esperanza,"1779 E 172nd St, Bronx, NY 10472, USA",40.8329544,-73.8677725,(718) 863-4440,https://www.elamanecer.org/,info@elamanecer.org,,,,"Food Pantry Hours of Operation:
Monday, Wednesday, Friday: 9:00 am - 12:00 pm
Please call for more information.",Food bank,ChIJh5rIL-r0wokRWco1jtEUSnQ,FF,,,,,,,,
Deliverance Temple Food Pantry,"177 Sherman St, Buffalo, NY 14212, USA",42.888178,-78.8465964,(716) 852-2344,https://www.freefood.org/l/ny_14212_deliverance-temple-food-pantry#,deliverancetemple177@gmail.com,,,,"Phone: (716) 852-2344
Email: deliverancetemple177@gmail.com
Hours of Operation:
Tuesday and Friday
9:00 am - 12:00 pm
Serving their community for over 20 years.
For more information, please call them.",Food bank,ChIJ5xq9_3AS04kRo2q72P8cfa0,FF,,,,,,,,
My Father's House,"177 Harvard St, Hempstead, NY 11550, USA",40.7151895,-73.6143191,(516) 539-6888,,,,,,Saturday: 12:00 PM - 3:00 PM. Please call for further information.,Food bank,ChIJIfE_7w59wokR7kCau8w2TIY,FF,,,,,,,,
"Childs Memorial Temple, Church Of God In Christ","1763 Amsterdam Ave, New York, NY 10031, USA",40.8267337,-73.946223,(212) 368-0668,,,,,,"Sunday
9:30 am - 11:00 am
Please call them for more information.",Food bank,ChIJh_vPGH32wokRb0ink7l57-I,FF,,,,,,,,
Assembly of God Christian Center,"1759 US-7, Ferrisburgh, VT 05456, USA",44.1856305,-73.2478919,(802) 877-3903,https://www.facebook.com/AGCC-55432332592/,contact@agccvt.org,,,,"Addison County is served by this establishment. The hours of operation are as follows: Monday is closed, while Tuesday to Friday operate between 8:00 AM and 5:00 PM. On Tuesday, Wednesday, Thursday, and Friday, the hours of operation are 8:00 AM - 5:00 PM. The establishment is closed on Saturday and Sunday.",Food bank,ChIJs8wNY2mdykwRPP20W3NdieU,FF,,,,,,,,
Bronx Pentecostal Deliverance Ctr.,"1755 Watson Ave, Bronx, NY 10472, USA",40.8282087,-73.8677266,(718) 822-6929,,,,,,"Schedule:
Tuesday and Friday: 10:00 am - 12:00 pm
For further details, kindly contact them via phone.",Food bank,ChIJe8VHZej0wokR5Bnmtb2-ojM,FF,,,,,,,,
Bailey House,"1751 Park Ave 3rd Floor, New York, NY 10035, USA",40.8026899,-73.9403842,(212) 633-2500,http://baileyhouse.org/,bhevents@baileyhouse.org,,,,"Services provided include housing and support for individuals and families with HIV/AIDS and chronic illnesses. Drop-in services are available on Wednesdays from 1:00 PM to 3:30 PM and include a food pantry, medical care coordination, housing placement, transitional care coordination, case management, independent living skills, Project FIRST (Formerly Incarcerated Rental Support and Training), housing support for youth living with HIV/AIDS, support groups, therapeutic recreational activities, transportation reimbursement, and rapid HIV/AIDS testing and counseling. The Family Program at Schafer Hall offers safe and stable housing and support services to 30 single-parent families impacted by HIV/AIDS. To qualify, households must have at least one member with an HIV diagnosis and at least one dependent.",Food bank,EisxNzUxIFBhcmsgQXZlICMzcmQsIE5ldyBZb3JrLCBOWSAxMDAzNSwgVVNBIh8aHQoWChQKEgmZWnJoCfbCiREK-DkRbCYoehIDM3Jk,FF,,,,,,,,
First Baptist Church of Bay Shore,"175 2nd Ave, Bay Shore, NY 11706, USA",40.732696,-73.2520714,(631) 665-8863,http://fbcbayshore.com/,FirstBaptistChurch5@Outlook.com,,,,"Food Pantry Hours of Operation:
Tuesday: 10:00 am - 12:00 pm
For more information, please call.",Food bank,ChIJk2IhCF4y6IkRDgsrIFH4jHo,FF,,,,,,,,
Grace Lutheran Food Pantry,"174 Cazenovia St, Buffalo, NY 14210, USA",42.8520835,-78.8086639,(716) 822-3267,,gracechurchbuffalo@gmail.com,,,,"Phone: (716) 822-3267
Email: gracechurchbuffalo@gmail.com
Services Provided: Food Pantry
Serves: Postcode 14210
Pantry Hours: Tuesday and Friday, 10:00am - 1:00pm
For more information, please call.",Food bank,ChIJJ2beQHEO04kRTfM0KMI6-os,FF,,,,,,,,
Susquehanna County Interfaith,"17120 PA-706, Montrose, PA 18801, USA",41.8357816,-75.8455427,(570) 278-1776,https://www.interfaithsc.orghttps//www.interfaithsc.org,director@interfaithsc.org,,,,"Services offered by the organization include a mobile and food pantry, a clothing shop, emergency assistance, a Back to School Shoes Program, and a Christmas Bureau. The hours of operation are Monday to Friday from 9:30 AM to 4:00 PM and Saturday from 9:30 AM to 2:00 PM.",Food bank,ChIJVUA4CHva2okRFVmM033Um_U,FF,,,,,,,,
Fulton St Brigid Pantry,"170 Fulton St, Buffalo, NY 14204, USA",42.8730026,-78.8647353,(716) 853-4456,http://www.ccwny.org/,william.larsen@ccwny.org,,,,"Food Pantry Available for Residents of 14204 Area Code
This food pantry is available to residents of the 14204 area code. To receive assistance, you must provide proof of address, benefit or Social Security card, and proof of income. The pantry is open on Wednesdays from 9:30 am to 11:30 pm and 1:00 pm to 2:00 pm. Emergencies can be accommodated by appointment. For more information, please call the pantry.",Food bank,ChIJAaaDNCMS04kR1jKI9A2C_Uc,FF,,,,,,,,
God's Provision - Faith Alive Ministries,"17 W Suffolk Ave, Central Islip, NY 11722, USA",40.7902618,-73.2054369,(631) 232-3408,http://www.faithaliveny.org/,office@faithaliveny.org,,,,"Services:
- Offers a food pantry.
Pantry Opening Hours:
- Every Tuesday from 3:00 p.m. to 5:00 p.m.
For further information, please call.",Food bank,ChIJsxY5qSIx6IkROO3qMQtfmS4,FF,,,,,,,,
Bronx Seventh Day Adventist Church,"1695 Washington Ave, Bronx, NY 10457, USA",40.8422807,-73.9012143,(917) 351-8777,http://www.bxsdachurch.org/,bronxchurch@gmail.com,,,,"Food Pantry Hours of Operation:
Thursday: 7:00 am - 1:00 pm
For more information, please call.",Food bank,ChIJuekjAmj0wokRzCHORKa89sI,FF,,,,,,,,
Christ All Over Me International Ministries,"169 W Tremont Ave, Bronx, NY 10453, USA",40.8510667,-73.9157317,(718) 299-4330,,,,,,"Phone: (718) 299-4330
Hours of operation: Saturday 4:00 pm - 6:00 pm
For more information, please call them.",Food bank,ChIJ4b2jqBP0wokR71ZG98UOg5g,FF,,,,,,,,
